run_id,class_id,class_name,precision,recall,f1
deeplab_K10_N2_no-remove,0,Unknown,0.4,0.001989516776982821,0.003959340617504854
deeplab_K10_N2_no-remove,1,Artificial,0.8431114391075725,0.8588863005317897,0.8509257656529841
deeplab_K10_N2_no-remove,2,Woodland,0.7929261119641882,0.8638775521777512,0.8268826095531386
deeplab_K10_N2_no-remove,3,Arable,0.7931916418538237,0.8267688600163111,0.8096322703583096
deeplab_K10_N2_no-remove,4,Frygana,0.6179854470938668,0.5922424500775387,0.6048401563946074
deeplab_K10_N2_no-remove,5,Bareland,0.5545913916638984,0.6153984470290665,0.5834147782803373
deeplab_K10_N2_no-remove,6,Water,0.9801715573093769,0.8443481894598113,0.9072042999147356
deeplab_K10_N2_no-remove,7,Permanent,0.8624143762937424,0.6120603760294002,0.7159833243883531
deeplab_K10_N2_remove-unknown,0,Unknown,0.0,0.0,0.0
deeplab_K10_N2_remove-unknown,1,Artificial,0.8598441128457452,0.8799755282601535,0.8697933504669093
deeplab_K10_N2_remove-unknown,2,Woodland,0.7847289978038496,0.860526002393154,0.8208815136392529
deeplab_K10_N2_remove-unknown,3,Arable,0.7957170554228229,0.8153416936896399,0.8054098486769562
deeplab_K10_N2_remove-unknown,4,Frygana,0.6151649896340666,0.6400702626028032,0.6273705518665996
deeplab_K10_N2_remove-unknown,5,Bareland,0.6086878483853706,0.5437271302403779,0.574376597238326
deeplab_K10_N2_remove-unknown,6,Water,0.9904762851547355,0.800663784374548,0.8855125339400699
deeplab_K10_N2_remove-unknown,7,Permanent,0.801886456664887,0.678644088219074,0.7351357999590862
deeplab_K10_N3_no-remove,0,Unknown,0.0,0.0,0.0
deeplab_K10_N3_no-remove,1,Artificial,0.8482241358784078,0.8801637724128194,0.8638988408851422
deeplab_K10_N3_no-remove,2,Woodland,0.793835556872858,0.8455045188267118,0.818855782873358
deeplab_K10_N3_no-remove,3,Arable,0.7720988398618263,0.8200605285758479,0.7953572930970997
deeplab_K10_N3_no-remove,4,Frygana,0.6043412490321536,0.570214830112964,0.5867822724955641
deeplab_K10_N3_no-remove,5,Bareland,0.5768807386604569,0.6054383951235154,0.5908146770397633
deeplab_K10_N3_no-remove,6,Water,0.979739660380791,0.8222930294604542,0.894138156270685
deeplab_K10_N3_no-remove,7,Permanent,0.824539323306149,0.6770568307682326,0.7435554220975861
deeplab_K10_N3_remove-unknown,0,Unknown,0.0,0.0,0.0
deeplab_K10_N3_remove-unknown,1,Artificial,0.8633082383507118,0.8788342980846158,0.8710020837147258
deeplab_K10_N3_remove-unknown,2,Woodland,0.7733984991328058,0.8589504148322619,0.8139325556900987
deeplab_K10_N3_remove-unknown,3,Arable,0.8073928503891462,0.7850838956058734,0.7960821102876229
deeplab_K10_N3_remove-unknown,4,Frygana,0.6065172689607427,0.6258560498599892,0.616034924363462
deeplab_K10_N3_remove-unknown,5,Bareland,0.6134217225867088,0.6043954891319007,0.6088751554820244
deeplab_K10_N3_remove-unknown,6,Water,0.9778319146664596,0.8096160336874588,0.8858086156794992
deeplab_K10_N3_remove-unknown,7,Permanent,0.7697200130850043,0.6651744129464596,0.7136386462285024
deeplab_K10_N4_no-remove,0,Unknown,0.0,0.0,0.0
deeplab_K10_N4_no-remove,1,Artificial,0.8650231384291706,0.8823203444867994,0.8735861276847557
deeplab_K10_N4_no-remove,2,Woodland,0.7664673057232196,0.8681137750019375,0.8141300961243993
deeplab_K10_N4_no-remove,3,Arable,0.7815416601310808,0.9161952518887237,0.8435285268239182
deeplab_K10_N4_no-remove,4,Frygana,0.6816837907265525,0.5814024591910981,0.6275622624266034
deeplab_K10_N4_no-remove,5,Bareland,0.6075036698039893,0.590362709517716,0.5988105497217878
deeplab_K10_N4_no-remove,6,Water,0.9870554118354712,0.811006284254006,0.8904123186056206
deeplab_K10_N4_no-remove,7,Permanent,0.8629662019017589,0.6493852563478713,0.7410943073908456
deeplab_K10_N4_remove-unknown,0,Unknown,0.33116883116883117,0.0019512568389639209,0.003879654634665855
deeplab_K10_N4_remove-unknown,1,Artificial,0.8431338963215701,0.8628959009835757,0.8529004408544506
deeplab_K10_N4_remove-unknown,2,Woodland,0.7877709107612645,0.855853114030196,0.8204019616992091
deeplab_K10_N4_remove-unknown,3,Arable,0.7918699122950394,0.869881589260901,0.8290446040218735
deeplab_K10_N4_remove-unknown,4,Frygana,0.6350319901223482,0.6237092186592779,0.6293196784527765
deeplab_K10_N4_remove-unknown,5,Bareland,0.5952842966267197,0.5723021550393637,0.5835670417970812
deeplab_K10_N4_remove-unknown,6,Water,0.9873032982292592,0.8170494543467429,0.894144030252729
deeplab_K10_N4_remove-unknown,7,Permanent,0.885510087369879,0.6207057155171215,0.7298305745100256
deeplab_K50_N2_no-remove,0,Unknown,0.0,0.0,0.0
deeplab_K50_N2_no-remove,1,Artificial,0.8596762971496356,0.8867523177561297,0.8730044188592047
deeplab_K50_N2_no-remove,2,Woodland,0.792281019466015,0.8485073032783941,0.8194307845162362
deeplab_K50_N2_no-remove,3,Arable,0.7767192778617065,0.834912888317783,0.8047654412717852
deeplab_K50_N2_no-remove,4,Frygana,0.6247428273944616,0.6059304282637934,0.6151928421575756
deeplab_K50_N2_no-remove,5,Bareland,0.6053658995127607,0.5789911382959275,0.591884845625494
deeplab_K50_N2_no-remove,6,Water,0.9918282844871775,0.8007803082659638,0.8861237892190755
deeplab_K50_N2_no-remove,7,Permanent,0.7948227903192234,0.6813111441693198,0.7337025618503514
deeplab_K50_N2_remove-unknown,0,Unknown,0.0,0.0,0.0
